Supplier_Name,Part_Number,Price_USD,PO_Number,PO_Created_Date,Original_Promise_Date,Supplier_Delivered_Date,Delivery_Speed_Days,Delay_Days,On_Time_Delivery,Year
Supplier C,PART-0008,165.69,PO-400077,2025-10-26,2025-11-11,2025-11-23,28,12,0,2025
Supplier C,PART-0083,140.76,PO-400078,2024-09-22,2024-09-29,2024-09-27,5,-2,1,2024
Supplier C,PART-0089,97.7,PO-400079,2025-11-05,2025-11-08,2025-11-07,2,-1,1,2025
Supplier C,PART-0013,226.62,PO-400080,2024-03-23,2024-04-14,2024-04-25,33,11,0,2024
Supplier B,PART-0047,78.47,PO-400081,2024-11-19,2024-11-23,2024-11-22,3,-1,1,2024
Supplier B,PART-0063,95.04,PO-400082,2024-12-24,2024-12-27,2024-12-27,3,0,1,2024
Supplier C,PART-0072,67.35,PO-400083,2025-09-23,2025-09-29,2025-09-27,4,-2,1,2025
Supplier B,PART-0036,51.41,PO-400084,2025-12-08,2025-12-14,2025-12-10,2,-4,1,2025
Supplier C,PART-0003,226.1,PO-400085,2025-01-27,2025-02-09,2025-02-19,23,10,0,2025
Supplier B,PART-0062,144.51,PO-400086,2024-12-09,2024-12-15,2024-12-14,5,-1,1,2024
Supplier A,PART-0097,364.66,PO-400087,2024-04-12,2024-05-01,2024-05-03,21,2,0,2024
Supplier B,PART-0082,275.47,PO-400088,2024-04-03,2024-04-24,2024-05-07,34,13,0,2024
Supplier B,PART-0063,74.94,PO-400089,2025-12-30,2026-01-05,2026-01-03,4,-2,1,2025
Supplier A,PART-0036,370.59,PO-400090,2025-06-22,2025-07-08,2025-07-13,21,5,0,2025
Supplier C,PART-0052,276.12,PO-400091,2024-12-15,2024-12-29,2024-12-31,16,2,0,2024
Supplier C,PART-0028,397.2,PO-400092,2025-11-10,2025-11-23,2025-11-30,20,7,0,2025
Supplier C,PART-0052,265.17,PO-400093,2025-06-22,2025-07-10,2025-07-17,25,7,0,2025
Supplier B,PART-0074,191.28,PO-400094,2024-04-17,2024-05-11,2024-05-24,37,13,0,2024
Supplier C,PART-0097,138.35,PO-400095,2024-01-23,2024-01-28,2024-01-25,2,-3,1,2024
Supplier C,PART-0088,63.43,PO-400096,2025-02-06,2025-02-13,2025-02-09,3,-4,1,2025
Supplier C,PART-0050,378.89,PO-400097,2024-10-14,2024-10-28,2024-11-01,18,4,0,2024
Supplier A,PART-0100,215.53,PO-400098,2024-11-21,2024-12-11,2024-12-13,22,2,0,2024
Supplier C,PART-0090,87.05,PO-400099,2025-11-24,2025-11-30,2025-11-29,5,-1,1,2025
Supplier A,PART-0068,378.7,PO-400100,2024-04-24,2024-05-10,2024-05-22,28,12,0,2024
Supplier B,PART-0028,345.64,PO-400101,2024-08-04,2024-08-23,2024-09-01,28,9,0,2024
Supplier C,PART-0077,84.67,PO-400102,2024-08-18,2024-08-21,2024-08-18,0,-3,1,2024
Supplier A,PART-0093,165.78,PO-400103,2024-12-17,2024-12-28,2025-01-07,21,10,0,2024
Supplier B,PART-0080,352.73,PO-400104,2024-10-30,2024-11-23,2024-12-03,34,10,0,2024
Supplier A,PART-0095,255.74,PO-400105,2024-02-12,2024-02-24,2024-03-10,27,15,0,2024
Supplier B,PART-0055,134.39,PO-400106,2025-06-23,2025-06-28,2025-06-23,0,-5,1,2025
Supplier B,PART-0041,122.06,PO-400107,2024-10-22,2024-10-28,2024-10-27,5,-1,1,2024
Supplier A,PART-0095,372.13,PO-400108,2025-05-04,2025-05-27,2025-06-05,32,9,0,2025
Supplier B,PART-0062,123.08,PO-400109,2025-01-23,2025-01-30,2025-01-30,7,0,1,2025
Supplier C,PART-0067,126.3,PO-400110,2024-11-28,2024-12-04,2024-12-03,5,-1,1,2024
Supplier A,PART-0054,283.3,PO-400111,2024-07-27,2024-08-16,2024-08-31,35,15,0,2024
Supplier C,PART-0030,242.96,PO-400112,2024-05-21,2024-06-08,2024-06-20,30,12,0,2024
Supplier C,PART-0026,264.82,PO-400113,2024-12-25,2025-01-15,2025-01-26,32,11,0,2024
Supplier B,PART-0033,327.34,PO-400114,2025-12-06,2025-12-16,2025-12-30,24,14,0,2025
Supplier A,PART-0038,203.85,PO-400115,2024-10-31,2024-11-11,2024-11-20,20,9,0,2024
Supplier C,PART-0079,138.36,PO-400116,2024-02-07,2024-02-11,2024-02-10,3,-1,1,2024
Supplier B,PART-0002,288.43,PO-400117,2024-12-30,2025-01-18,2025-02-02,34,15,0,2024
Supplier B,PART-0063,58.3,PO-400118,2025-12-28,2025-12-31,2025-12-26,-2,-5,1,2025
Supplier C,PART-0013,196.38,PO-400119,2025-06-25,2025-07-10,2025-07-18,23,8,0,2025
Supplier A,PART-0097,373.97,PO-400120,2025-04-01,2025-04-13,2025-04-24,23,11,0,2025
Supplier A,PART-0031,127.43,PO-400121,2024-03-08,2024-03-13,2024-03-10,2,-3,1,2024
Supplier A,PART-0076,339.6,PO-400122,2024-04-05,2024-04-20,2024-05-01,26,11,0,2024
Supplier C,PART-0069,120.13,PO-400123,2024-09-15,2024-09-20,2024-09-15,0,-5,1,2024
Supplier B,PART-0072,254.96,PO-400124,2025-12-29,2026-01-11,2026-01-21,23,10,0,2025
Supplier B,PART-0005,182.14,PO-400125,2024-12-24,2025-01-12,2025-01-23,30,11,0,2024
Supplier B,PART-0076,326.29,PO-400126,2024-08-08,2024-08-22,2024-09-02,25,11,0,2024
Supplier C,PART-0064,390.69,PO-400127,2024-05-08,2024-05-21,2024-06-05,28,15,0,2024
Supplier A,PART-0010,102.33,PO-400128,2025-12-26,2026-01-02,2026-01-01,6,-1,1,2025
Supplier C,PART-0100,137.98,PO-400129,2025-07-05,2025-07-12,2025-07-10,5,-2,1,2025
Supplier C,PART-0047,305.07,PO-400130,2025-12-22,2026-01-05,2026-01-18,27,13,0,2025
Supplier C,PART-0030,221.91,PO-400131,2025-04-22,2025-05-04,2025-05-16,24,12,0,2025
Supplier C,PART-0078,101.38,PO-400132,2024-02-06,2024-02-13,2024-02-09,3,-4,1,2024
Supplier A,PART-0034,306.85,PO-400133,2025-11-11,2025-11-29,2025-12-05,24,6,0,2025
Supplier A,PART-0008,105.55,PO-400134,2025-01-22,2025-01-25,2025-01-23,1,-2,1,2025
Supplier A,PART-0046,164.9,PO-400135,2024-12-12,2024-12-30,2025-01-02,21,3,0,2024
Supplier C,PART-0046,314.22,PO-400136,2025-05-29,2025-06-16,2025-06-21,23,5,0,2025
Supplier B,PART-0031,217.75,PO-400137,2024-01-07,2024-01-18,2024-01-31,24,13,0,2024
Supplier C,PART-0035,231.56,PO-400138,2024-03-26,2024-04-18,2024-05-03,38,15,0,2024
Supplier B,PART-0006,283.4,PO-400139,2025-10-24,2025-11-08,2025-11-10,17,2,0,2025
Supplier B,PART-0060,90.72,PO-400140,2025-12-19,2025-12-22,2025-12-21,2,-1,1,2025
Supplier A,PART-0073,326.72,PO-400141,2024-01-20,2024-02-12,2024-02-17,28,5,0,2024
Supplier B,PART-0093,296.7,PO-400142,2024-06-19,2024-07-03,2024-07-06,17,3,0,2024
Supplier A,PART-0049,197.7,PO-400143,2024-03-06,2024-03-30,2024-04-08,33,9,0,2024
Supplier A,PART-0005,139.0,PO-400144,2025-03-22,2025-03-25,2025-03-24,2,-1,1,2025
Supplier B,PART-0052,118.76,PO-400145,2024-02-28,2024-03-05,2024-03-03,4,-2,1,2024
Supplier B,PART-0011,395.14,PO-400146,2025-11-26,2025-12-08,2025-12-22,26,14,0,2025
Supplier A,PART-0044,260.38,PO-400147,2025-10-16,2025-11-06,2025-11-15,30,9,0,2025
Supplier A,PART-0068,216.49,PO-400148,2024-02-05,2024-02-17,2024-02-22,17,5,0,2024
Supplier C,PART-0041,336.11,PO-400149,2024-02-10,2024-02-23,2024-02-29,19,6,0,2024
Supplier A,PART-0049,305.53,PO-400150,2024-05-02,2024-05-13,2024-05-21,19,8,0,2024
Supplier A,PART-0090,380.86,PO-400151,2025-11-25,2025-12-11,2025-12-26,31,15,0,2025
Supplier B,PART-0042,96.63,PO-400152,2025-12-24,2025-12-31,2025-12-31,7,0,1,2025
Supplier C,PART-0098,135.85,PO-400153,2025-12-03,2025-12-07,2025-12-07,4,0,1,2025
Supplier B,PART-0007,397.54,PO-400154,2025-10-10,2025-10-28,2025-11-09,30,12,0,2025
Supplier C,PART-0009,332.45,PO-400155,2024-12-01,2024-12-12,2024-12-13,12,1,0,2024
Supplier C,PART-0064,163.23,PO-400156,2025-08-09,2025-08-25,2025-09-03,25,9,0,2025
Supplier B,PART-0075,165.41,PO-400157,2024-05-02,2024-05-26,2024-06-01,30,6,0,2024
Supplier B,PART-0048,118.29,PO-400158,2025-04-05,2025-04-08,2025-04-05,0,-3,1,2025
Supplier C,PART-0092,132.55,PO-400159,2024-11-24,2024-11-27,2024-11-26,2,-1,1,2024
Supplier B,PART-0091,331.71,PO-400160,2024-01-03,2024-01-26,2024-02-05,33,10,0,2024
Supplier A,PART-0048,351.65,PO-400161,2025-12-07,2025-12-28,2026-01-01,25,4,0,2025
Supplier B,PART-0055,74.4,PO-400162,2025-12-05,2025-12-11,2025-12-06,1,-5,1,2025
Supplier A,PART-0081,223.95,PO-400163,2024-05-14,2024-05-24,2024-06-01,18,8,0,2024
Supplier C,PART-0004,202.8,PO-400164,2024-06-11,2024-07-05,2024-07-15,34,10,0,2024
Supplier A,PART-0053,215.14,PO-400165,2025-03-15,2025-03-27,2025-04-01,17,5,0,2025
Supplier A,PART-0056,287.0,PO-400166,2024-12-27,2025-01-10,2025-01-12,16,2,0,2024
Supplier B,PART-0061,139.57,PO-400167,2024-10-08,2024-10-13,2024-10-09,1,-4,1,2024
Supplier C,PART-0089,118.55,PO-400168,2024-06-15,2024-06-22,2024-06-17,2,-5,1,2024
Supplier B,PART-0026,177.84,PO-400169,2024-03-01,2024-03-12,2024-03-24,23,12,0,2024
Supplier A,PART-0003,134.05,PO-400170,2025-07-23,2025-07-29,2025-07-28,5,-1,1,2025
Supplier C,PART-0061,243.75,PO-400171,2024-06-17,2024-07-07,2024-07-10,23,3,0,2024
Supplier A,PART-0004,83.88,PO-400172,2025-12-11,2025-12-15,2025-12-15,4,0,1,2025
Supplier C,PART-0024,362.56,PO-400173,2025-11-21,2025-12-14,2025-12-19,28,5,0,2025
Supplier A,PART-0098,219.03,PO-400174,2025-08-24,2025-09-04,2025-09-06,13,2,0,2025
Supplier C,PART-0032,362.9,PO-400175,2025-03-18,2025-03-31,2025-04-13,26,13,0,2025
Supplier C,PART-0079,60.82,PO-400176,2025-03-12,2025-03-17,2025-03-12,0,-5,1,2025
Supplier B,PART-0031,290.94,PO-400177,2024-09-15,2024-10-07,2024-10-13,28,6,0,2024
Supplier C,PART-0006,330.07,PO-400178,2025-03-20,2025-04-13,2025-04-26,37,13,0,2025
Supplier A,PART-0014,57.33,PO-400179,2025-06-08,2025-06-14,2025-06-11,3,-3,1,2025
Supplier C,PART-0082,74.41,PO-400180,2025-10-17,2025-10-22,2025-10-22,5,0,1,2025
Supplier A,PART-0079,333.67,PO-400181,2025-11-02,2025-11-18,2025-12-03,31,15,0,2025
Supplier C,PART-0076,139.91,PO-400182,2025-04-13,2025-04-17,2025-04-12,-1,-5,1,2025
Supplier C,PART-0083,141.53,PO-400183,2025-11-13,2025-11-17,2025-11-14,1,-3,1,2025
Supplier A,PART-0021,129.63,PO-400184,2025-11-18,2025-11-25,2025-11-22,4,-3,1,2025
Supplier C,PART-0057,334.7,PO-400185,2025-04-27,2025-05-10,2025-05-24,27,14,0,2025
Supplier A,PART-0035,191.58,PO-400186,2024-04-25,2024-05-07,2024-05-11,16,4,0,2024
Supplier B,PART-0078,336.59,PO-400187,2024-04-30,2024-05-15,2024-05-26,26,11,0,2024
Supplier A,PART-0038,373.64,PO-400188,2024-05-26,2024-06-08,2024-06-20,25,12,0,2024
Supplier B,PART-0027,161.14,PO-400189,2025-06-30,2025-07-23,2025-07-25,25,2,0,2025
Supplier B,PART-0018,394.39,PO-400190,2024-07-29,2024-08-15,2024-08-16,18,1,0,2024
Supplier B,PART-0098,293.96,PO-400191,2025-05-13,2025-06-01,2025-06-13,31,12,0,2025
Supplier C,PART-0043,346.61,PO-400192,2025-06-14,2025-07-07,2025-07-09,25,2,0,2025
Supplier C,PART-0059,263.28,PO-400193,2025-10-17,2025-10-28,2025-11-06,20,9,0,2025
Supplier B,PART-0059,67.23,PO-400194,2025-07-04,2025-07-11,2025-07-11,7,0,1,2025
Supplier C,PART-0029,314.64,PO-400195,2025-02-20,2025-03-05,2025-03-06,14,1,0,2025
Supplier C,PART-0014,297.5,PO-400196,2025-09-30,2025-10-16,2025-10-25,25,9,0,2025
Supplier C,PART-0022,389.92,PO-400197,2024-02-14,2024-03-04,2024-03-15,30,11,0,2024
Supplier B,PART-0010,309.45,PO-400198,2024-09-30,2024-10-22,2024-11-06,37,15,0,2024
Supplier C,PART-0092,146.97,PO-400199,2025-06-21,2025-06-27,2025-06-26,5,-1,1,2025
Supplier B,PART-0061,69.2,PO-400200,2024-06-15,2024-06-18,2024-06-18,3,0,1,2024
Supplier C,PART-0005,262.1,PO-400201,2025-04-09,2025-05-04,2025-05-10,31,6,0,2025
Supplier B,PART-0065,74.35,PO-400202,2025-10-02,2025-10-07,2025-10-07,5,0,1,2025
Supplier A,PART-0027,116.78,PO-400203,2025-04-19,2025-04-25,2025-04-20,1,-5,1,2025
Supplier A,PART-0016,65.01,PO-400204,2024-12-10,2024-12-16,2024-12-16,6,0,1,2024
Supplier B,PART-0014,372.73,PO-400205,2025-07-08,2025-07-21,2025-07-30,22,9,0,2025
Supplier A,PART-0073,163.91,PO-400206,2024-06-19,2024-07-07,2024-07-08,19,1,0,2024
Supplier C,PART-0033,195.72,PO-400207,2024-11-19,2024-12-14,2024-12-18,29,4,0,2024
Supplier B,PART-0041,52.19,PO-400208,2024-04-29,2024-05-03,2024-04-30,1,-3,1,2024
Supplier B,PART-0065,75.87,PO-400209,2024-08-17,2024-08-23,2024-08-18,1,-5,1,2024
Supplier B,PART-0002,231.52,PO-400210,2025-08-05,2025-08-21,2025-09-05,31,15,0,2025
Supplier C,PART-0038,254.89,PO-400211,2025-05-09,2025-05-21,2025-06-04,26,14,0,2025
Supplier C,PART-0047,305.55,PO-400212,2025-07-19,2025-08-06,2025-08-16,28,10,0,2025
Supplier B,PART-0013,237.95,PO-400213,2025-07-05,2025-07-19,2025-07-20,15,1,0,2025
Supplier B,PART-0089,295.19,PO-400214,2024-03-13,2024-03-27,2024-04-05,23,9,0,2024
Supplier A,PART-0023,141.85,PO-400215,2025-05-23,2025-05-26,2025-05-22,-1,-4,1,2025
Supplier C,PART-0026,244.74,PO-400216,2024-01-23,2024-02-07,2024-02-09,17,2,0,2024
Supplier A,PART-0030,54.54,PO-400217,2025-02-01,2025-02-07,2025-02-06,5,-1,1,2025
Supplier C,PART-0025,307.21,PO-400218,2025-10-29,2025-11-08,2025-11-09,11,1,0,2025
Supplier B,PART-0012,367.4,PO-400219,2024-07-15,2024-08-05,2024-08-07,23,2,0,2024
Supplier C,PART-0064,271.26,PO-400220,2024-11-26,2024-12-13,2024-12-18,22,5,0,2024
Supplier C,PART-0087,117.88,PO-400221,2024-02-28,2024-03-03,2024-03-01,2,-2,1,2024
Supplier A,PART-0096,230.85,PO-400222,2025-10-27,2025-11-12,2025-11-14,18,2,0,2025
Supplier A,PART-0043,345.5,PO-400223,2025-11-28,2025-12-13,2025-12-21,23,8,0,2025
Supplier A,PART-0049,357.66,PO-400224,2024-10-12,2024-10-24,2024-10-27,15,3,0,2024
Supplier A,PART-0029,148.85,PO-400225,2025-12-14,2025-12-19,2025-12-15,1,-4,1,2025
Supplier A,PART-0034,201.5,PO-400226,2024-05-25,2024-06-16,2024-06-26,32,10,0,2024
Supplier A,PART-0001,57.75,PO-400227,2025-10-04,2025-10-09,2025-10-04,0,-5,1,2025
Supplier B,PART-0044,97.21,PO-400228,2025-06-06,2025-06-12,2025-06-08,2,-4,1,2025
Supplier C,PART-0016,183.62,PO-400229,2025-11-17,2025-12-12,2025-12-26,39,14,0,2025
Supplier A,PART-0067,399.94,PO-400230,2025-02-04,2025-02-25,2025-03-07,31,10,0,2025
Supplier C,PART-0078,69.4,PO-400231,2025-07-10,2025-07-17,2025-07-15,5,-2,1,2025
Supplier A,PART-0066,370.03,PO-400232,2024-08-05,2024-08-24,2024-08-31,26,7,0,2024
Supplier B,PART-0060,50.14,PO-400233,2024-07-08,2024-07-12,2024-07-11,3,-1,1,2024
Supplier B,PART-0033,332.92,PO-400234,2024-06-10,2024-06-29,2024-07-02,22,3,0,2024
Supplier A,PART-0089,179.11,PO-400235,2025-06-01,2025-06-13,2025-06-24,23,11,0,2025
Supplier A,PART-0056,296.49,PO-400236,2025-04-23,2025-05-17,2025-05-23,30,6,0,2025
Supplier A,PART-0032,123.01,PO-400237,2025-09-07,2025-09-10,2025-09-05,-2,-5,1,2025
Supplier A,PART-0001,68.84,PO-400238,2024-05-07,2024-05-11,2024-05-07,0,-4,1,2024
Supplier A,PART-0047,212.97,PO-400239,2024-12-16,2024-12-26,2025-01-08,23,13,0,2024
Supplier B,PART-0040,100.47,PO-400240,2024-05-31,2024-06-03,2024-06-03,3,0,1,2024
Supplier C,PART-0096,141.58,PO-400241,2024-09-28,2024-10-01,2024-09-26,-2,-5,1,2024
Supplier B,PART-0060,112.46,PO-400242,2024-06-30,2024-07-06,2024-07-04,4,-2,1,2024
Supplier B,PART-0087,251.02,PO-400243,2024-03-29,2024-04-22,2024-04-29,31,7,0,2024
Supplier C,PART-0083,63.06,PO-400244,2025-01-25,2025-01-31,2025-01-28,3,-3,1,2025
Supplier C,PART-0045,273.72,PO-400245,2025-05-21,2025-06-10,2025-06-24,34,14,0,2025
Supplier B,PART-0011,191.88,PO-400246,2024-10-23,2024-11-07,2024-11-13,21,6,0,2024
Supplier C,PART-0021,195.03,PO-400247,2024-08-23,2024-09-12,2024-09-24,32,12,0,2024
Supplier B,PART-0096,376.58,PO-400248,2024-04-27,2024-05-16,2024-05-17,20,1,0,2024
Supplier B,PART-0032,341.47,PO-400249,2025-10-16,2025-10-31,2025-11-09,24,9,0,2025
Supplier B,PART-0008,311.53,PO-400250,2024-04-04,2024-04-29,2024-05-03,29,4,0,2024
Supplier A,PART-0048,346.06,PO-400251,2025-12-17,2025-12-27,2026-01-06,20,10,0,2025
Supplier A,PART-0018,94.2,PO-400252,2024-09-26,2024-09-30,2024-09-25,-1,-5,1,2024
Supplier C,PART-0073,83.95,PO-400253,2024-11-06,2024-11-09,2024-11-09,3,0,1,2024
Supplier B,PART-0068,358.01,PO-400254,2024-09-21,2024-10-11,2024-10-20,29,9,0,2024
Supplier B,PART-0061,144.3,PO-400255,2024-10-23,2024-10-29,2024-10-26,3,-3,1,2024
Supplier A,PART-0004,127.33,PO-400256,2025-09-25,2025-09-28,2025-09-24,-1,-4,1,2025
Supplier C,PART-0036,201.14,PO-400257,2025-02-10,2025-02-20,2025-03-06,24,14,0,2025
Supplier A,PART-0089,231.67,PO-400258,2024-07-13,2024-07-30,2024-08-08,26,9,0,2024
Supplier C,PART-0055,375.21,PO-400259,2024-06-18,2024-07-06,2024-07-08,20,2,0,2024
Supplier A,PART-0080,389.56,PO-400260,2025-02-06,2025-02-26,2025-03-07,29,9,0,2025
Supplier C,PART-0058,197.85,PO-400261,2025-12-19,2025-12-30,2026-01-12,24,13,0,2025
Supplier B,PART-0056,100.99,PO-400262,2025-03-09,2025-03-14,2025-03-09,0,-5,1,2025
Supplier A,PART-0021,64.55,PO-400263,2024-06-28,2024-07-05,2024-07-05,7,0,1,2024
